classification,Trades,Total_PnL,Avg_PnL,Avg_Position_Size,Win_Rate
Extreme Fear,21400,739110.24849,34.53786207897196,5349.7318429906545,37.0607476635514
Extreme Greed,39992,2715171.310673,67.89286133909282,3112.2515645629123,46.49429885977195
Fear,61837,3357155.441642,54.2903996254993,7816.109930785776,42.07675016575836
Greed,50303,2150129.272951,42.74355948851957,5736.884375086974,38.48279426674354
Neutral,37686,1292920.67555,34.30771839807886,4782.732661465797,39.69909250119408
